task_id,repo,condition,model,pred_index,actor,name,description,evidence_paths,matched_gold,best_similarity,path_coverage,majority_category,unanimous,has_unique_majority,annotator_11_category,annotator_11_confidence,annotator_11_supported,annotator_11_path_grounded,annotator_11_needs_discussion,annotator_11_notes,annotator_12_category,annotator_12_confidence,annotator_12_supported,annotator_12_path_grounded,annotator_12_needs_discussion,annotator_12_notes,annotator_13_category,annotator_13_confidence,annotator_13_supported,annotator_13_path_grounded,annotator_13_needs_discussion,annotator_13_notes
engripaye__library-management-system::readme_only::deepseek-v4-pro::2,engripaye__library-management-system,readme_only,deepseek-v4-pro,2,Library Staff,Delete Book,A staff member removes a book from the library catalog.,DELETE /api/books/{id},Add book,0.3333,,readme_overgeneralization,False,True,matched_supported_goal,high,True,True,False,DELETE /api/books/{id} directly supports deleting a book.,readme_overgeneralization,medium,False,False,False,DELETE /api/books/{id} directly supports deleting a book.,readme_overgeneralization,medium,False,False,False,DELETE /api/books/{id} directly supports deleting a book.
engripaye__library-management-system::readme_only::deepseek-v4-pro::5,engripaye__library-management-system,readme_only,deepseek-v4-pro,5,Library Staff,View All Users,A staff member retrieves the list of all registered users.,GET /api/users,List library users,0.2593,,readme_overgeneralization,False,True,matched_supported_goal,high,True,True,False,GET /api/users directly supports viewing all users.,readme_overgeneralization,medium,False,False,False,GET /api/users directly supports viewing all users.,readme_overgeneralization,medium,False,False,False,GET /api/users directly supports viewing all users.
jobic10__student-management-using-django::readme_only::deepseek-v4-pro::2,jobic10__student-management-using-django,readme_only,deepseek-v4-pro,2,Admin,Review Feedback,Admin reviews and replies to feedback submitted by students and staff.,README.md,Reply to feedback,0.4462,0.0,readme_overgeneralization,False,True,matched_supported_goal,medium,True,True,False,README supports reviewing/replying to feedback.,readme_overgeneralization,medium,False,False,False,README supports reviewing/replying to feedback.,readme_overgeneralization,medium,False,False,False,README supports reviewing/replying to feedback.
jobic10__student-management-using-django::readme_only::deepseek-v4-pro::3,jobic10__student-management-using-django,readme_only,deepseek-v4-pro,3,Admin,Approve or Reject Leave,Admin reviews leave applications from staff and students and approves or rejects them.,README.md,Review leave applications,0.4235,0.0,readme_overgeneralization,False,True,matched_supported_goal,medium,True,True,False,README supports approving/rejecting leave.,readme_overgeneralization,medium,False,False,False,README supports approving/rejecting leave.,readme_overgeneralization,medium,False,False,False,README supports approving/rejecting leave.
mehmetpekdemir__Library-Management-System::readme_only::deepseek-v4-pro::0,mehmetpekdemir__Library-Management-System,readme_only,deepseek-v4-pro,0,Librarian,Browse Books,Librarian views a list of all books in the library catalog.,README.md,Search books,0.3333,,readme_overgeneralization,False,True,matched_supported_goal,medium,True,True,False,README supports browsing books.,readme_overgeneralization,medium,False,False,False,README supports browsing books.,readme_overgeneralization,medium,False,False,False,README supports browsing books.
mwinamijr__django-scms::readme_only::deepseek-v4-pro::0,mwinamijr__django-scms,readme_only,deepseek-v4-pro,0,Admin,User Login,"Admins, teachers, accountants and parents authenticate to receive role-based access to the system.",README.md,Manage teacher accounts,0.1976,,readme_overgeneralization,False,True,matched_supported_goal,medium,True,True,False,README supports login for role-based access.,readme_overgeneralization,medium,False,False,False,README supports login for role-based access.,readme_overgeneralization,medium,False,False,False,README supports login for role-based access.
openfun__marsha::file_tree_only::deepseek-v4-pro::4,openfun__marsha,file_tree_only,deepseek-v4-pro,4,Instructor,Manage account,An instructor views and updates their account profile and preferences.,src/backend/marsha/account/api.py | src/backend/marsha/account/views.py | src/backend/marsha/account/models.py | src/backend/marsha/account/backends/saml_fer.py,Manage playlist,0.3333,,matched_supported_goal,False,True,matched_supported_goal,medium,True,True,False,Account API/views/models directly support managing account/profile.,matched_supported_goal,medium,True,True,False,Account API/views/models directly support managing account/profile.,matched_goal_missing_or_wrong_path,medium,True,False,False,"Annotator 13: account management support is likely, but the specific path is not clearly evidenced."
thakurpdhiraj__library_management_system::readme_only::deepseek-v4-pro::0,thakurpdhiraj__library_management_system,readme_only,deepseek-v4-pro,0,User,Authenticate User,A user (Admin or member) logs in with credentials to gain role-based access to the system.,README.md (All: Authentication with Login and Logout),View current orders,0.225,,readme_overgeneralization,False,True,matched_supported_goal,medium,True,True,False,README directly supports login/authentication.,readme_overgeneralization,medium,False,False,False,README directly supports login/authentication.,readme_overgeneralization,medium,False,False,False,README directly supports login/authentication.
thakurpdhiraj__library_management_system::readme_only::deepseek-v4-pro::3,thakurpdhiraj__library_management_system,readme_only,deepseek-v4-pro,3,Admin,Process Orders,"Admin searches orders, marks them as collected, and marks returns while generating invoices with late fees.","README.md (Admin: Search orders based on order id, user id or book id. Mark order as collected. Mark order as returned and generate downloadable invoice with late fees as applicable.)",Search orders,0.3889,0.0,readme_overgeneralization,False,True,matched_supported_goal,high,True,True,False,README directly supports processing orders and returns with invoices/late fees.,readme_overgeneralization,medium,False,False,False,README directly supports processing orders and returns with invoices/late fees.,readme_overgeneralization,medium,False,False,False,README directly supports processing orders and returns with invoices/late fees.
thakurpdhiraj__library_management_system::readme_only::deepseek-v4-pro::7,thakurpdhiraj__library_management_system,readme_only,deepseek-v4-pro,7,User,Update Profile,A logged-in user updates their account details and changes their password.,README.md (All: Update self account details & change password),View current orders,0.2429,,readme_overgeneralization,False,True,matched_supported_goal,medium,True,True,False,README directly supports updating account details and password.,readme_overgeneralization,medium,False,False,False,README directly supports updating account details and password.,readme_overgeneralization,medium,False,False,False,README directly supports updating account details and password.
thakurpdhiraj__library_management_system::readme_plus_code::deepseek-v4-pro::6,thakurpdhiraj__library_management_system,readme_plus_code,deepseek-v4-pro,6,All,Authenticate,Any user can log in to obtain a token for role-based access and log out.,auth/src/test/java/com/dhitha/lms/auth/controller/AuthControllerTest.java | client-frontend/src/views/UserView.vue | README.md,Authenticate and access role-based views,0.35,0.0909,implementation_level_goal,False,True,matched_supported_goal,medium,True,True,False,Auth tests and README directly support authentication.,implementation_level_goal,high,False,True,False,Auth tests and README directly support authentication.,implementation_level_goal,high,False,True,False,Auth tests and README directly support authentication.
thakurpdhiraj__library_management_system::full_selected_context::deepseek-v4-pro::7,thakurpdhiraj__library_management_system,full_selected_context,deepseek-v4-pro,7,All,Authenticate and manage account,"Users and admins log in, log out, update their own account details, and change their password.",README.md | auth/src/test/java/com/dhitha/lms/auth/controller/AuthControllerTest.java | client-frontend/src/views/LoginView.vue | client-frontend/src/components/user/account/AccountPage.vue | client-frontend/src/compo...,Authenticate and access role-based views,0.2961,0.1818,matched_supported_goal,False,True,matched_supported_goal,medium,True,True,False,"README, auth tests, and account pages directly support authentication and account management.",matched_supported_goal,medium,True,True,False,"README, auth tests, and account pages directly support authentication and account management.",near_miss_or_partial_workflow,medium,True,False,False,"Annotator 13: authentication/account behavior overlaps the requested goal, but the workflow boundary is not exact."
tough-dev-school__education-backend::readme_only::deepseek-v4-pro::1,tough-dev-school__education-backend,readme_only,deepseek-v4-pro,1,User,Place Order for Course,"A user purchases a course by creating an order, integrated with Tinkoff payment.",README.md,Purchase course,0.2632,,readme_overgeneralization,False,True,matched_supported_goal,medium,True,True,False,README supports purchasing courses/orders with payment integration.,readme_overgeneralization,medium,False,False,False,README supports purchasing courses/orders with payment integration.,readme_overgeneralization,medium,False,False,False,README supports purchasing courses/orders with payment integration.
tough-dev-school__education-backend::file_tree_only::deepseek-v4-pro::2,tough-dev-school__education-backend,file_tree_only,deepseek-v4-pro,2,User,Reset Password,User resets their password using the token received via email.,src/apps/a12n/api/views.py | src/apps/a12n/tests/api/tests_password_reset_confirm.py,Manage authentication and password recovery,0.2622,,implementation_level_goal,False,True,matched_supported_goal,medium,True,True,False,Auth views/tests directly support resetting password.,implementation_level_goal,high,False,True,False,Auth views/tests directly support resetting password.,implementation_level_goal,high,False,True,False,Auth views/tests directly support resetting password.
tough-dev-school__education-backend::file_tree_only::deepseek-v4-pro::5,tough-dev-school__education-backend,file_tree_only,deepseek-v4-pro,5,Admin,Complete B2B Deal,"Administrator or automated process finalizes a paid B2B deal, enrolling students and sending welcome messages.",src/apps/b2b/services/deal_completer.py | src/apps/b2b/tests/deal_completer/test_deal_completer_happiness_message.py | src/apps/b2b/tests/deal_completer/test_deal_completer_new_order_creation.py,Refresh Notion material cache,0.1952,,implementation_level_goal,False,True,matched_supported_goal,medium,True,True,False,Deal completer service/tests directly support completing B2B deals.,implementation_level_goal,high,False,True,False,Deal completer service/tests directly support completing B2B deals.,implementation_level_goal,high,False,True,False,Deal completer service/tests directly support completing B2B deals.
tough-dev-school__education-backend::readme_plus_code::deepseek-v4-pro::2,tough-dev-school__education-backend,readme_plus_code,deepseek-v4-pro,2,Student,Reset password,A student can request a password reset email via an ESP template and set a new password.,src/apps/a12n/api/forms.py | src/apps/a12n/api/serializers.py,Manage authentication and password recovery,0.1667,,matched_goal_missing_or_wrong_path,False,True,matched_supported_goal,medium,True,True,False,Auth forms/serializers directly support password reset.,matched_goal_missing_or_wrong_path,medium,True,False,False,Auth forms/serializers directly support password reset.,matched_goal_missing_or_wrong_path,medium,True,False,False,Auth forms/serializers directly support password reset.
tough-dev-school__education-backend::readme_plus_code::deepseek-v4-pro::4,tough-dev-school__education-backend,readme_plus_code,deepseek-v4-pro,4,Student,Purchase a course,"A student can initiate a course purchase, optionally apply a promocode, choose a bank, and be redirected to payment.",src/apps/orders/api/serializers.py | src/apps/products/api/serializers.py | src/apps/tinkoff/api/serializers.py,Purchase course,1.0,0.0,matched_goal_missing_or_wrong_path,False,True,matched_supported_goal,high,True,True,False,Order/product/payment serializers directly support course purchase flow.,matched_goal_missing_or_wrong_path,medium,True,False,False,Order/product/payment serializers directly support course purchase flow.,matched_goal_missing_or_wrong_path,medium,True,False,False,Order/product/payment serializers directly support course purchase flow.
tough-dev-school__education-backend::full_selected_context::deepseek-v4-pro::2,tough-dev-school__education-backend,full_selected_context,deepseek-v4-pro,2,Student,view module details,"Student retrieves module information including start date, description, and lesson count.",src/apps/lms/api/serializers/module.py | src/apps/lms/api/serializers/__init__.py,View lessons,0.25,,matched_goal_missing_or_wrong_path,False,True,matched_goal_missing_or_wrong_path,medium,True,False,False,"Module serializer suggests module-detail viewing, but lacks direct endpoint/test grounding.",near_miss_or_partial_workflow,medium,True,False,False,"Module serializer suggests module-detail viewing, but lacks direct endpoint/test grounding.",matched_goal_missing_or_wrong_path,medium,True,False,False,"Annotator 13: module detail support is present, but serializer-level evidence is weaker than a complete path."
tough-dev-school__education-backend::full_selected_context::deepseek-v4-pro::4,tough-dev-school__education-backend,full_selected_context,deepseek-v4-pro,4,Student,purchase course,"Student selects a course, optionally applies promocode and bank, receives price and proceeds to payment.",src/apps/orders/api/serializers.py | src/apps/products/api/serializers.py | src/apps/banking/api/serializers.py,Purchase course,1.0,0.0,matched_goal_missing_or_wrong_path,False,True,matched_supported_goal,high,True,True,False,Order/product/banking serializers directly support purchasing a course.,matched_goal_missing_or_wrong_path,medium,True,False,False,Order/product/banking serializers directly support purchasing a course.,matched_goal_missing_or_wrong_path,medium,True,False,False,Order/product/banking serializers directly support purchasing a course.
